"poi_id","valine_kood","x","y"
1219161,"JKK4400161",737616,6587591
1233012,"JKK4400108",737637,6587407
1191708,"JKK4400001",737621,6587593
1185077,"JKK8400001",590972,6469604
1218981,"JKK8400033",591070,6469522
1219136,"JKK5700010",475973,6534184
1191785,"JKK7400110",413804,6458632
1232744,"JKK6700160",529494,6496559
1218946,"JKK7000028",524386,6528293
1232845,"JKK7000062",524478,6528285
1232954,"JKK7000027",525443,6528919
1233052,"JKK7000019",547658,6539683
1232933,"JKK8400036",596042,6469344
1233045,"JKK5900212",638071,6575277
1219072,"JKK8600059",679209,6415494
1240187,"JKK8400054",591651,6469495
1232760,"JKK6700141",531790,6473073
1219101,"JKK6500071",679844,6439129
1233046,"JKK3700439",540302,6590974
1232920,"JKK3700020",540310,6590976
1218893,"JKK3700502",556160,6591820
1233038,"JKK3700110",556097,6591844
1233010,"JKK3700311",556131,6591843
1219125,"JKK3700322",556140,6591833
1191733,"JKK3700405",556107,6591845
1233060,"JKK3700769",538042,6591117
1191817,"JKK3700096",549469,6588214
1240176,"JKK7400139",405636,6453775
1218896,"JKK8400050",590515,6499373
1191788,"JKK5900092",628757,6557065
1191649,"JKK6700194",530991,6473370
1219184,"JKK3700475",522738,6573251
1233013,"JKK7400100",411852,6459447
1232700,"JKK3700869",549106,6586923
1185105,"JKK8200002",624573,6404870
1232692,"JKK8200086",624417,6404729
1233103,"JKK8600101",714988,6430108
1219056,"JKK3700504",530582,6587803
1218969,"JKK3700419",553359,6592312
1191642,"JKK7800082",641865,6457449
1232855,"JKK8400094",595631,6460145
1191813,"JKK5700021",472747,6532731
1233053,"JKK6700159",545539,6494356
1233050,"JKK7800309",657206,6471304
1233085,"JKK7800310",660255,6470269
1191782,"JKK7800161",656802,6475179
1191576,"JKK6700052",530179,6473924
1219083,"JKK5700041",474555,6533971
1233019,"JKK4900066",646589,6513784
1191878,"JKK3700054",548587,6587534
1233030,"JKK3700085",548785,6586964
1191499,"JKK3700236",548759,6586882
1232676,"JKK3700284",538484,6584607
1232943,"JKK3700328",541418,6581403
1232724,"JKK3700453",548797,6587941
1233132,"JKK3700087",513815,6548833
1219148,"JKK3700503",552125,6585124
1232982,"JKK4900041",638565,6513349
1219002,"JKK5100009",597875,6544547
1232731,"JKK4400118",712730,6590477
1232846,"JKK4400206",737140,6588371
1191509,"JKK4400036",737138,6588372
1232861,"JKK4400307",712628,6591398
1191834,"JKK7800115",659985,6471125
1232781,"JKK7000069",554172,6547934
1240172,"JKK7000069",554176,6547932
1191492,"JKK6500022",681896,6440184
1219177,"JKK7800151",659257,6470391
1191539,"JKK7800021",659789,6470032
1233092,"JKK7800228",659788,6470031
1233051,"JKK7800304",661809,6474370
1232967,"JKK7800174",658040,6473568
1191550,"JKK5900091",637749,6547570
1232981,"JKK4900062",639315,6513133
1232928,"JKK4900003",639315,6513138
1191865,"JKK5900018",634461,6582450
1232699,"JKK5900115",638357,6582256
1232899,"JKK3700901",566493,6561745
1191721,"JKK7400072",412070,6457820
1233113,"JKK3700918",533245,6583609
1232937,"JKK3700283",549621,6589849
1232868,"JKK3700594",553276,6595478
1232885,"JKK8600100",649997,6411297
1191833,"JKK5100049",590651,6514423
1233217,"JKK3700265",535580,6578983
1219112,"JKK6700101",531204,6473488
1233211,"JKK3700090",532590,6575773
1233062,"JKK5900112",652795,6593569
1233196,"JKK3700577",552493,6585276
1232740,"JKK3700519",540122,6591086
1233064,"JKK4400293",703369,6590642
1185098,"JKK4400089",666516,6583927
1191548,"JKK5100002",581096,6519778
1191639,"JKK6500055",704283,6446133
1233049,"JKK7800311",659253,6471561
1233065,"JKK4400214",703130,6591655
1232835,"JKK4400321",736120,6588334
1232705,"JKK3700898",548744,6587590
1240192,"JKK3700582",567332,6559494
1233122,"JKK3700582",567323,6559507
1227023,"JKK3700741",536629,6580498
1233032,"JKK3700845",537944,6586444
1191786,"JKK3900001",429207,6521759
1218903,"JKK3900017",428278,6539753
1232789,"JKK3700815",596775,6606678
1191543,"JKK4400057",673144,6583503
1233008,"JKK4400057",673004,6583445
1232863,"JKK4400163",712084,6591249
1219173,"JKK5700029",485500,6535365
1191534,"JKK5700029",485504,6535370
1183880,"JKK5700124",476024,6533273
1191512,"JKK7800120",660332,6471826
1232955,"JKK8200037",621690,6405317
1232748,"JKK7800058",660603,6470007
1219077,"JKK7800140",659638,6471190
1233149,"JKK5900073",609546,6570743
1233047,"JKK3700740",541080,6582780
1183823,"JKK5900054",620752,6560605
1191797,"JKK6700009",530857,6473509
1191896,"JKK5700062",474080,6532277
1233033,"JKK0900165",538055,6591283
1233174,"JKK3700591",538052,6591224
1232964,"JKK4400105",684454,6590179
1232977,"JKK3700589",542332,6586654
1219126,"JKK4400087",692861,6584270
1233111,"JKK7000070",543266,6560611
1232947,"JKK5900057",621224,6559552
1232984,"JKK5100003",607788,6546481
1232672,"JKK5700045",473648,6534136
1233120,"JKK8600029",678432,6414789
1232871,"JKK8400095",569239,6439585
1232739,"JKK8400088",569243,6439585
1233161,"JKK5100154",589367,6528012
1233164,"JKK6700018",532014,6472063
1219028,"JKK6700120",529315,6474344
1233165,"JKK6700128",533024,6473088
1233037,"JKK6700157",533088,6472991
1232989,"JKK7800110",658865,6475117
1232832,"JKK4400257",737995,6590448
1219058,"JKK7800007",660732,6472106
1232762,"JKK7800258",660652,6472173
1191856,"JKK7800117",660644,6472159
1240179,"JKK8400064",593552,6471736
1232936,"JKK3700282",546652,6589009
1191750,"JKK3700030",546889,6587207
1233158,"JKK3700603",546976,6588313
1233031,"JKK3700524",547837,6586990
1233147,"JKK3700145",563216,6563219
1232946,"JKK3700285",536763,6581173
1191854,"JKK3900030",428082,6541329
1233126,"JKK3700921",546491,6597004
1233127,"JKK3700536",546288,6596909
1191685,"JKK3900006",426805,6539725
1233011,"JKK3700015",556535,6591810
1191777,"JKK3700290",556536,6591812
1232821,"JKK3700576",555155,6594517
1218899,"JKK4400198",672732,6583791
1191756,"JKK7800063",656293,6476690
1216370,"JKK7800160",657734,6473947
1191823,"JKK7800147",660769,6474690
1191800,"JKK7800083",641762,6457272
1232690,"JKK7800116",658560,6468160
1183601,"JKK8600050",677094,6422560
1219011,"JKK8600011",677713,6416949
1240189,"JKK8400081",591965,6469517
347211,"JKK3700097",539026,6591530
1232721,"JKK3700564",551037,6589166
1232893,"JKK3700531",566923,6552578
1218940,"JKK5700026",471550,6492726
1232726,"JKK5900009",644394,6599031
1233125,"JKK5900116",634492,6590599
1191660,"JKK4400306",693162,6584286
1218885,"JKK5900064",621654,6580493
1191610,"JKK8600056",679634,6415374
1233110,"JKK7000065",542161,6560384
1191719,"JKK4400159",692403,6584935
1219109,"JKK3700113",553944,6591072
1232860,"JKK5900113",635414,6580326
1219050,"JKK5700060",490061,6505514
1232992,"JKK6500028",703640,6444743
1233180,"JKK6700127",529094,6474662
1233194,"JKK8600087",679301,6414938
1219092,"JKK5900039",612724,6570118
1191503,"JKK7800145",659955,6470957
1232808,"JKK3700602",554243,6590968
1191623,"JKK7800037",660372,6471963
1190702,"JKK6700016",530626,6473973
1232761,"JKK6700121",530630,6473985
1191884,"JKK8400029",591675,6470522
1218985,"JKK4400114",735851,6587644
1232876,"JKK8400111",580259,6443484
1251311,"JKK8400111",580268,6443486
1219134,"JKK3700469",549618,6588160
1233023,"JKK3700529",548904,6586919
1232913,"JKK3700082",548950,6586869
1232910,"JKK3700286",540255,6585115
1232945,"JKK3700278",540478,6584163
1232944,"JKK3700225",540566,6584222
1227022,"JKK3700743",540477,6584159
1232720,"JKK3700323",550438,6589177
1219185,"JKK4400069",699959,6591798
1219145,"JKK3900041",412089,6539173
1232820,"JKK3700526",554821,6591118
1233201,"JKK3700511",553547,6591490
1218943,"JKK4400143",663099,6594535
1232811,"JKK3700763",552154,6591407
1232929,"JKK4900018",639524,6513993
1191663,"JKK4400012",712287,6590783
1191664,"JKK5100048",598253,6544565
1191712,"JKK6700094",529021,6476874
1219018,"JKK6700094",529021,6476874
1240181,"JKK6700144",489810,6504033
1232774,"JKK6700144",489810,6504033
1218887,"JKK7000055",525125,6530569
1233014,"JKK7400099",411686,6459228
1191656,"JKK7800154",660694,6474922
1232916,"JKK3700277",546847,6591906
1232728,"JKK5900151",642909,6598870
1232768,"JKK3700548",554616,6588601
1191580,"JKK8600049",680237,6413461
1218936,"JKK8600080",679057,6412584
1232793,"JKK3700843",557110,6591239
1227024,"JKK3700871",542751,6604138
1232865,"JKK3700584",513098,6575327
1185033,"JKK4400188",730974,6584906
1191978,"JKK7800074",655275,6478391
1232923,"JKK3900003",426827,6539921
1191727,"JKK5100050",601196,6523020
1233197,"JKK6700142",529646,6476548
1240199,"JKK3700548",554616,6588654
1232838,"JKK6500103",663243,6431054
1191586,"JKK3700310",549097,6587043
1233066,"JKK6700213",528170,6474047
1233175,"JKK7800264",660767,6471276
1233022,"JKK5100132",588904,6526870
1233020,"JKK5100029",588908,6526871
1191742,"JKK8200113",623048,6406300
1232924,"JKK3900021",428609,6541152
1191773,"JKK5900053",643995,6601068
1232886,"JKK8600014",651539,6412634
1233015,"JKK4400034",738349,6587739
1232723,"JKK4400287",668745,6584126
1232756,"JKK7800299",658998,6472762
1232780,"JKK3700604",522950,6573429
1232892,"JKK8400064",593655,6471781
1240200,"JKK3700137",576094,6578882
1218964,"JKK3700197",550227,6588125
1191681,"JKK3700009",550234,6588050
1219150,"JKK6700102",545815,6436569
1232752,"JKK3700908",515582,6566419
1191736,"JKK5100053",608244,6545388
1232963,"JKK4400029",684098,6589474
1191560,"JKK5100018",582619,6518808
1191903,"JKK4400048",682719,6587028
1232732,"JKK4400158",712371,6590703
1191714,"JKK4400094",685697,6588540
1191806,"JKK5700025",473865,6531549
1191825,"JKK6700081",520482,6474082
1191845,"JKK7400044",413838,6458471
1191730,"JKK6500050",681317,6440180
1232800,"JKK7000135",547251,6516077
1191532,"JKK7000109",547242,6516052
1219026,"JKK6500008",687849,6450953
1233079,"JKK7800294",667669,6466423
1233048,"JKK7800312",659212,6473347
1232730,"JKK5900019",635506,6580292
1219059,"JKK5900051",646791,6550397
1219051,"JKK6500083",682536,6440686
1233056,"JKK3700588",547439,6587666
1218900,"JKK3700315",547445,6587670
1232737,"JKK7400013",411760,6454514
1191755,"JKK3700317",511894,6566479
1191754,"JKK3700198",548800,6587840
1232679,"JKK5900011",643619,6598364
1233076,"JKK7800262",663322,6473312
1233043,"JKK7800014",663257,6473290
1232743,"JKK7800315",661939,6473095
1232935,"JKK3700254",545904,6587145
1240195,"JKK3700735",549833,6581669
1233140,"JKK3700014",554264,6594835
1185057,"JKK4400074",683207,6588875
1233007,"JKK4400322",682708,6587981
1183965,"JKK3700248",551301,6589219
1191648,"JKK6500066",681182,6440525
1240174,"JKK3700730",534542,6575640
1183466,"JKK5900212",637977,6575321
1233210,"JKK5900174",628778,6557271
1232795,"JKK3700835",554274,6590941
1191672,"JKK8600012",679282,6415275
1232961,"JKK6700027",529631,6473986
1191874,"JKK3700295",539755,6590991
1233112,"JKK4400294",681002,6583965
1219151,"JKK8200016",623515,6408088
1233082,"JKK5100125",597891,6544832
1232903,"JKK6700090",529942,6476878
1191706,"JKK3700203",539101,6586550
1182786,"JKK4400097",683129,6588103
1232794,"JKK3700915",555764,6592195
1218949,"JKK3700372",555744,6592246
